Start,Goal,Algorithm,Time (s),Expansions,Steps
"[((1, 2, 3), (4, 5, 6), (0, 7, 8)); ((1, 2, 3), (4, 5, 6), (7, 0, 8))]","[((1, 2, 3), (4, 5, 6), (7, 8, 0))]",Sensorless Search ~ Search with No Observation,0.0004,3,1
"[((1, 2, 3), (4, 5, 6), (0, 7, 8)); ((1, 2, 3), (4, 5, 6), (7, 0, 8))]","[((1, 2, 3), (4, 5, 6), (7, 8, 0))]",Belief-State BFS ~ Search with Partial Observation,0.0007,4,1
